Start time,End time,German ><,English!
903.8,904.8,ss Noch ein Klumpen. Forrest kippt um.,ss Another lumps. Forrest turns over.
921.8,923.3,s Die Drei jagen an Jenny vorbei.,s The Three chase over to Jenny.
926.7,928.1,Er stakst den Weg entlang.,He is stalking along the way.
931.3,935.3,Forrest wird schneller. Die Jungs auf ihren Rädern holen langsam auf.,Forrest is faster. The guys on their wheels are catching up slowly.
937,943.2,Behindert durch die Schienen hastet Forrest weiter. In Zeitlupe: Mit seinen steifen Beinen macht er ungelenke Schritte.,"Hampered by the rails bustles Forrest on. In Slow Motion: With his stiff legs, he makes awkward steps."
946.7,952.3,Die Verfolger treten verbissen in die Pedale. Gehetzt sieht sich Forrest zu ihnen um. Er hat eine Platzwunde an der Stirn.,The persecutors occur doggedly in the pedals. Rushed be Forrest looks to them. He has a laceration on his forehead.
953.9,962,"Im Laufen beginnt Forrest plötzlich, die Knie zu beugen. Die Halterungen der Schienen reißen ab; Einzelteile fliegen durch die Luft.",In Run Forrest suddenly begins to bend your knees. The holders of the rails torn off; Items flying through the air.
966.9,968.6,Die letzten Teile fallen ab.,The last parts fall off.
970.5,974.2,Forrest starrt entschlossen nach vorn. Die Jungs fahren durch die Reste der Schienen.,Forrest stares resolutely forward. The boys go through the remains of the rails.
979.7,980.6,Auf der Wartebank:,On the waiting bench:
983.4,986.2,"Die Krankenschwester nickt, ohne von ihrer Zeitschrift aufzuschauen.","The nurse nodded, without looking up from her magazine."
993.3,999.6,"Die drei Jungs stoppen. Verblüfft sehen sie dem davonrasenden Forrest nach, der eine Staubwolke hinter sich her zieht.","The three boys stop. Puzzled look after them raving Forrest, who draws a cloud of dust behind him."
1001.1,1005.3,Forrest biegt vom Weg ab und flitzt über eine große Wiese auf eine Baumreihe zu…,Forrest turns off the path and scampered across a large meadow on a row of trees on ...
1007.3,1009.8,"… und überquert eine kleine Brücke, auf der Angler sitzen.","... And crossed a small bridge, sit on the angler."
1013.7,1024.2,"s Er rennt an Sträflingen vorbei, die den Grünstreifen am Straßenrand bearbeiten. * In Greenbow jagt er am Friseurladen vorbei und wirbelt dabei eine Zeitung hoch. Drei Männer im Laden glotzen ihm nach.",s He runs past convicts who work the grass verge at the roadside. * In Greenbow he chases past the barbershop and swirls it up a newspaper. Three men in the shop staring after him.
1027.3,1030.1,Forrest rast auf ein kleines ärmliches Farm-Haus zu.,Forrest races toward a small impoverished farm house.
1053,1055.1,"s Er entdeckt Jenny, die bei einem Tabakfeld steht.","s He discovers Jenny, which stands at a tobacco field."
1066.7,1068,s Sie zieht Forrest ins Feld.,s She pulls Forrest into the field.
1073.6,1075.6,Ihr Vater stapft durch die brusthohen Pflanzen.,Her father trudges through the chest-high plants.
1077.1,1080.5,In seiner Hand ein Flachmann. Jenny zieht Forrest in ein hohes Maisfeld.,"In his hand, a hip flask. Jenny pulls Forrest in a tall cornfield."
1084,1086.1,Zwischen den Pflanzen knien sich die Kinder hin.,"Between the plants, the children kneel."
1131.8,1132.7,ss Die Zwei im Bett.,ss The two in bed.
1146.1,1146.8,ss Ein Klumpen trifft ihn.,ss A lump hits him.
1149.4,1150.4,ss Jenny als Teenager.,ss Jenny als Teenager.
1155.6,1157.9,ss Der Werfer springt zu den zwei anderen auf einen Pickup.,ss The thrower jumps to the other two on a pickup.
1177,1182,Der Pickup fährt dicht hinter Forrest. Der biegt wieder auf die Wiese… (JOHLEN) …der Pickup hinterher.,The pickup driving close behind Forrest. The flexing back afterwards to the meadow ... (yelling) ... the pickup.
1191.4,1194.2,s Er springt über einen Zaun. (SCHREI) * Auf der Wartebank:,s He jumps over a fence. (CRY) * on the waiting bench:
1201.4,1204.1,Forrest rennt auf einer Straße; der Pickup folgt ihm.,Forrest runs on a road; the pickup follows him.
1211.8,1215.8,"Forrest biegt ab und rast auf ein Football-Feld, auf dem ein Spiel stattfindet.",Forrest turns and resting on a football field in which there will be a game.
1217.5,1225.9,"s Ein Quarterback wirft einen Pass. Sein Coach sieht zu. ""NA ALSO!"" Forrest überholt den Fänger. Der guckt baff – und wird vom Gegner umgerannt.","s A quarterback throwing a pass. His coach looks for. ""SO WHAT!"" Forrest overtaken the catcher. The looks flabbergasted - and is run over by the enemy."
1226.8,1229.4,s Der Coach und seine Assistenten glotzen Forrest nach.,s The coach and his assistants gawk by Forrest.
1242.3,1247.6,s In einem vollen Football-Stadion. Forrest als Spieler träumt vor sich hin. Ein Mitspieler läuft mit dem Ball zu ihm.,s In a full football stadium. Forrest as player dreams to himself. A player running with the ball to him.
1254.3,1256,Forrest hängt mehrere Gegner ab.,Forrest depends multiple enemies.
1261,1266.2,In einem Tribünenblock formen die Zuschauer mit roten Tafeln die Worte 'Go Alabama'. Der Coach:,In a grandstand block the audience with red panels form the words 'Go Alabama'. The Coach:
1268.5,1273.4,ss Forrest weicht einem Gegner aus. Der stößt mit einem Mitspieler zusammen. (ZUSAMMENSTOSS) Forrest rennt zur Seitenlinie.,ss Forrest evades an opponent. The collides with a team-mate. (IMPACT) Forrest runs to the sideline.
1274,1284.7,"s Er biegt Richtung Touchdown-Linie ab. Zwei Gegner hechten ihm vergeblich nach. Forrest durchquert die Touchdown-Zone mit dem Ball, rennt Musiker einer Kapelle um … (UMRENNEN) … und stürmt durch ein Stadiontor hinaus.","s He bends direction from touchdown line. Two opponents dive after him in vain. Forrest the touchdown zone crosses the ball, runs a chapel musician to ... (knock down) ... and storms out by a Stadiontor."
1292.9,1306.1,"Es ist dunkel. Im strömenden Regen sitzt Forrest vor einem Hauseingang und hält eine Pralinenschachtel auf dem Schoß. Er sieht zu einem näher kommenden Auto, das etwas entfernt parkt. Darin sitzen zwei Personen. Forrest blickt aufmerksam hin.","It is dark. In pouring rain Forrest sitting in front of a doorway, holding a box of chocolates on her lap. He sees a approaching car which is parked some distance away. In it sit two people. Forrest looks out carefully."
1312,1319.8,Die beiden umarmen sich. Forrest steht auf. Die blonde Frau lehnt den Rücken an die Beifahrertür und stützt sich mit den Händen an den Scheiben ab,"The two embrace. Forrest gets up. The blonde woman is leaning back against the passenger door, and supports himself with his hands on the discs from"
1323.4,1325,Entschlossen rennt Forrest hin…,Determined runs towards Forrest ...
1328.1,1331.3,… sieht durch die beschlagene Windschutzscheibe und reißt die Fahrertür auf.,... Looks through the misted windscreen and tears the driver's door.
1332.6,1333.8,Er schlägt auf den Fahrer ein.,He punches the driver.
1336.4,1338,Jenny steigt aus und rennt zu ihm.,Jenny gets out and runs to him.
1339.5,1340.2,ss Sie zieht ihn weg.,ss She pulls him away.
1364.8,1365.9,s Sie nimmt sie wütend.,s It takes them angry.
1374.5,1375.2,Er bleibt stehen.,He stops.
1378.5,1379.6,Er schaut an sich runter.,He looks down at himself.
1382.7,1389.9,"Sie greift nach seiner Hand und zieht ihn hinter sich her. * s In einem Flur späht Jenny um eine Ecke, schleicht mit Forrest zu einem Zimmer und schließt auf.","She reaches for his hand and pulls him along behind him. * S in a hallway Jenny peeking around a corner, with Forrest sneaks into a room and unlocks."
1392,1395.9,"Später: Jenny, im Unterkleid, nimmt den Bademantel ihrer schlafenden Mitbewohnerin…","Later: Jenny, the petticoat, takes the robe her sleeping roommate ..."
1397.5,1399.1,s …und legt ihn um seine nackten Beine.,s ... and puts it around his bare legs.
1400.7,1402.1,ss Auch sein Oberkörper ist nackt.,ss His torso is naked.
1417.1,1418.5,Jenny trocknet ihre Haare.,Jenny dries her hair.
1426.9,1428.5,s Sie zieht ihr Unterkleid aus.,s you takes off her petticoat.
1431.4,1434.2,In BH und Unterhose setzt sie sich neben Forrest aufs Bett.,In bra and underpants she sits down next to Forrest on the bed.
1437.3,1444.7,Schüchtern sieht Forrest auf ihren Busen. Jenny ist schlank. Sie hat ein schmales ebenmäßiges Gesicht und glattes langes Haar. Sie bemerkt seinen Blick.,Shy looks Forrest on her bosom. Jenny is slim. She has a slim and harmonious face and straight long hair. She noticed his gaze.
1454.5,1462.8,Jenny sieht ihn ruhig an. Sie öffnet ihren BH … (KLICK) … und streift ihn ab. Forrests Augen weiten sich. Verlegen schaut er weg.,"Jenny looked at him calmly. She opens her bra ... (click) ... and clips him off. Forrest's eyes widen. Embarrassed, he looks away."
1465.6,1468.1,Jenny nimmt seine Hand und legt sie sich auf die Brust.,Jenny takes his hand and places it on his chest.
1472.1,1474.3,Forrest linst aus den Augenwinkeln rüber.,Forrest peeping over from the corner of his eye.
1475.3,1476.3,Er zuckt zusammen.,He winces.
1489.5,1491,s Er schaut aufgewühlt vor sich hin.,s He looks upset to himself.
1492.2,1493.7,Jenny zieht den BH wieder an.,Jenny pulls her bra again.
1499.1,1502.1,Sie schmiegt ihren Kopf an seine Schulter und streicht ihm über die Wange.,"She nestled her head on his shoulder, stroking his cheek."
1514,1519.8,Sie küsst ihn auf die Wange. (KUSS) Die Mitbewohnerin liegt von ihnen abgewandt im Bett und schaut angewidert.,She kisses him on the cheek. (KISS) The roommate is away from them in bed and looking disgusted.
1526,1540.1,s Im Stadion formen die Zuschauer mit den Tafeln 'Go Forrest'. Der hängt alle Gegner ab und erreicht die Touchdown-Zone. Die Tafeln formen ein 'Stop'; die Kapelle stellt sich Forrest in den Weg; er bleibt stehen; die Gegner stürzen übereinander.,s in this stadium after the audience forms the panels 'Go Forrest'. The depends on all opponents and reach the touchdown zone. The panels form a 'Stop'; the chapel arises Forrest in the way; he stops; the opponents falling over each other.
1555.5,1556.6,s Forrest an einem Buffet.,s Forrest from a buffet.
1567.1,1568.6,ss Ein Kellner öffnet ihm eine Cola.,ss A waiter opens him a Coke.
1579.5,1580.1,s Kennedy:,s Kennedy:
1583.7,1588.4,Schwarzweißaufnahmen: In der Spielerschlange trippelt Forrest unruhig hin und her und hält sich den Bauch.,Black and white photographs: In the player snake Forrest tripping back and forth restlessly and holding his belly.
1592.2,1592.9,ss Zu Forrest:,ss to Forrest:
1600.4,1613.6,In der Präsidententoilette mit vielen Privatfotos sowie rotem und schwarzem Telefon neben dem Klo: Forrest schließt seine Hose und geht zum Waschtisch. Dort stehen ein gerahmtes Bild von Marilyn Monroe mit Widmung und ein Bild von John F. und Robert Kennedy.,In the president toilet with many private photos as well as red and black telephone next to the toilet: Forrest closes his pants and goes to the washstand. There are a framed picture of Marilyn Monroe with dedication and an image of John F. Kennedy and Robert.
1633.8,1634.6,s Auf dem Campus:,s On campus:
1645.2,1647,Ein Offizier kommt zu ihnen.,An officer comes to them.
1654.8,1656.4,s Er gibt ihm eine Army-Werbebroschüre.,s It gives him an Army-promotional brochure.
1658.2,1659.6,ss In einem Army-Bus zum Fahrer:,ss In an Army bus to the driver:
1672.9,1675.3,Ein Schwarzer versperrt den leeren Platz neben sich.,A Black blocks the empty seat beside him.
1676.2,1677.8,Eingeschüchtert geht Forrest weiter.,Intimidated goes Forrest on.
1685.8,1689.6,S Er sieht zu einem Schwarzen mit vorstehender Unterlippe. Der nimmt einen Koffer vom Sitz.,S He sees a black with protruding lower lip. He takes a suitcase from the seat.
1697.6,1698.8,ss Er gibt ihm ein Taschentuch.,ss He gives him a handkerchief.
1735.8,1740.4,Eine schwarze Köchin bedient einen Weißen. * Im gleichen Haus bedient auch die schwarze Großmutter ihren weißen Herrn.,"A black cook served a white man. * In the same house, the black grandmother served her white master."
1766.08,1767.5,ss Im Schlafsaal.,ss in the dormitory.
1776.5,1777.7,ss Die Männer sind in Unterwäsche.,ss The men in underwear.
1795.1,1796.6,ss Jeder setzt sein Gewehr zusammen.,ss Everyone puts his gun together.
1847.4,1848.3,ss Sie putzen Stiefel.,ss you brush boots.
1858.7,1860.5,ss Sie scheuern den Boden mit Zahnbürsten.,ss scrub the floor with toothbrushes.
1871.4,1873.1,s Es ist dunkel. Bubba liegt wach im Bett.,s It's dark. Bubba lies awake in bed.
1883.5,1887.1,Forrest liegt oben im Etagenbett. Sein Nachbar wirft ihm einen 'Playboy' zu.,Forrest is the top of the bunk bed. His neighbor gives him a 'Playboy' to.
1892.4,1903.7,Forrest schaut in die Zeitschrift und blättert um. Auf einem Bild kniet Jenny nur in weit aufgeknöpfter College-Jacke. Ungläubig starrt Forrest auf das Foto.,Forrest looks in the magazine and flips around. On a picture Jenny kneels As far unbuttoned Varsity Jacket. Incredulous stares Forrest on the photo.
1915.3,1916.4,ss Er kommt in einen Club.,ss He comes into a club.
1926.1,1927.7,ss Zwischen Porträts eins von Jenny.,ss Between portraits one of Jenny.
1947.3,1961.6,Der Vorhang öffnet sich. Jenny sitzt mit einer großen Gitarre auf einem Barhocker. Das Instrument verdeckt Brust und Schoß. Sie trägt nur einen hautfarbenen Slip.,The curtain opens. Jenny sits with a big guitar on a bar stool. The instrument covers the chest and lap. She wears only a flesh-colored panties.
1993.6,1996,Ein Mann will ihr einen Geldschein in den Pumps stecken.,A man wants to put her a bill in the Pumps.
1998.1,1999.1,ss Sie tritt seine Hand weg.,ss It appears his hand away.
2001.5,2003,Er schüttet sein Bier über ihre Füße,He pours his beer over her feet
2008.6,2010.8,Forrest marschiert mit grimmiger Miene nach vorn.,Forrest marched grimly forward.
2011.7,2013.9,Er packt den Mann von hinten und stößt ihn zu Boden.,"He grabs the man from behind, knocking him to the ground."
2015.7,2016.7,ss Er schubst noch einen um.,ss He shoves another order.
2018.5,2019.5,Er steigt auf die Bühne …,He rises to the stage ...
2021.1,2021.9,… und hebt sie hoch.,... And picks her up.
2024.2,2030.7,s Er tut es. (PLING) Sie drückt ihm die Gitarre in die Hand und eilt von der Bühne. Forrest hetzt ihr nach. * Später auf einer Brücke:,"s He does it. (PLING) You presses his guitar in hand, and rushes from the stage. Forrest rushes after her. * Later on a bridge:"
2050.5,2054.6,Jenny schaut nachdenklich aufs Wasser. Forrest betrachtet sie.,Jenny thoughtfully looks at the water. Forrest she considered.
2073.8,2080.6,Sie steigt auf eine niedrige Querstrebe des Geländers. Beunruhigt sieht Forrest sie von unten nach oben an und kommt etwas näher.,"It rises to a low cross bar of the railing. Alarmed looks Forrest them from bottom to top, and comes closer."
2087.6,2089.7,Ein Autoscheinwerfer streift ihr Gesicht.,One Headlight touches her face.
2092.3,2094.1,Sie stellt sich auf die Fahrbahn und winkt.,She stands on the pavement and waving.
2106.4,2107.9,Sie bleibt stehen und sieht zu ihm.,She stops and looks at him.
2132.2,2133.8,Jenny geht zur Beifahrerseite.,Jenny goes to the passenger side.
2137.8,2138.4,Sie stoppt.,She stops.
2151.7,2163.7,Der Schatten eines Hubschraubers gleitet über Reisfelder. In der offenen Tür sitzt ein Bordschütze am Maschinengewehr. Er schaut zu Forrest und Bubba neben ihm. Die beiden weichen seinem Blick eingeschüchtert aus.,The shadow of a helicopter glides over rice fields. In the open door sits a gunner on the machine gun. He looks at Forrest and Bubba beside him. The two soft his gaze intimidated.
2170.2,2178.1,Der Hubschrauber landet auf einem Stützpunkt neben einem anderen Helikopter. Zwei Soldaten erwarten ihn. Bubba und Forrest springen mit ihren Gepäcksäcken raus.,The helicopter lands on a base next to another helicopter. Two soldiers await him. Bubba and Forrest jump out with their luggage bags.
2198.7,2208.3,An einem Fluss grillen Soldaten zwischen Palmen und trinken Bier. Einige spielen Karten. Im Hintergrund fliegt eine Hubschrauberstaffel den Fluss entlang. Forrest und Bubba gehen mit ihrem Gepäck darauf zu.,"At a river barbecue soldiers between palm trees and drink beer. Some play cards. In the background, a helicopter squadron flying along the river. Forrest and Bubba go with their luggage to it."
2224.4,2226,ss Ein Soldat mit nacktem Oberkörper:,ss A soldier shirtless:
2249.5,2250.9,Bubba zieht die Unterlippe ein.,Bubba pulls a lower lip.
2256.8,2259.1,Forrest und Bubba mustern sich und schütteln den Kopf.,Forrest and Bubba patterns and shake his head.
2266.1,2266.9,s Sie folgen Dan.,s follow Dan.
2310.5,2314.5,"Soldaten, die genau wie Dan aussehen, sterben in 4 historischen Kriegen.","Soldiers who look exactly like Dan, die in 4 past wars."
2336,2337.1,ss Er geht in eine Latrine.,ss He goes into a latrine.
2351.8,2354.4,Sein Kopf verschwindet hinter der brusthohen Latrinentür.,His head disappears behind the chest-high Latrinentür.
2361,2369.4,"s Auf Patrouille gehen Forrest und Bubba mit anderen durch ein Reisfeld. Sie tragen tarnfarbene Helme, olivgrüne Uniformen und Rucksäcke. Ihre Gewehre halten sie quer vor sich.","s On Patrol Forrest and Bubba go with others through a rice field. Wear camouflaged helmets, olive uniforms and backpacks. Your guns they hold cross in front of him."
2375.1,2377.2,s Zwischen Feldern gehen sie eine Sandpiste entlang.,s intermediate fields they go along a dirt road.
2387.5,2394.4,Forrests Gesicht ist schmutzig. Unter einem Riemen an seinem Helm klemmt ein Plastikfläschchen. Ein vorne gehender Soldat hebt die Faust.,Forrest's face is dirty. Under a strap on his helmet pinched a plastic vial. A continuous front soldier raises his fist.
2396.6,2398.1,Der Trupp hockt sich links und rechts der Piste an die Böschung.,The squad squats left and right of the runway to the escarpment.
2415,2416,Dan geht nach vorn.,Dan going forward.
2419.2,2423.6,"Er hockt sich hin, dreht sich zu seinen Männern um und zeigt mit zwei Fingern auf seine Augen.","He squats down, turns to his men, and showing two fingers on his eyes."
2426.8,2430.3,Dan legt sich flach auf die Piste und späht über den Boden direkt vor ihm.,Dan lies down flat on the slopes and peeks over the ground in front of him.
2440.2,2441.6,Ein Soldat mit Hornbrille.,A soldier with horn-rimmed glasses.
2444.3,2445.1,ss Ein Schwarzer.,ss A Black.
2455.2,2457,Vorne steht Lieutenant Dan wieder auf.,Front Lieutenant Dan gets up again.
2478.4,2480.3,s Hinter Dan und Forrest fliegt Erde hoch.,s Behind Dan and Forrest flying high earth.
